aX,aY,aZ,gX,gY,gZ
0.02,-0.01,0.97,-0.49,1.65,0.79
0.00,-0.02,1.00,-0.49,2.08,0.73
-0.00,-0.01,0.97,-0.43,1.95,0.85
0.01,0.01,0.95,-0.43,1.95,0.85
0.01,-0.01,0.97,-0.37,1.77,0.67
0.01,-0.02,0.98,-0.61,1.77,1.10
0.00,-0.01,0.95,-0.85,1.53,1.46
0.01,-0.01,0.96,-0.61,1.89,0.79
0.01,-0.01,0.96,-0.49,1.89,0.85
0.01,-0.01,0.96,-0.61,1.71,0.73
-0.00,-0.01,0.97,-0.73,1.46,0.85
0.02,-0.00,0.97,-0.61,1.65,0.85
0.05,0.00,0.97,-0.31,1.83,0.55
0.02,-0.01,0.97,-0.43,1.71,0.67
0.02,-0.00,0.97,-0.92,1.16,0.79
0.01,-0.00,0.96,-0.61,2.20,0.67
0.02,-0.00,0.96,-0.37,1.89,1.46
-0.01,-0.01,0.97,-0.43,2.01,0.55
0.02,-0.01,0.97,-0.31,1.65,0.49
0.05,0.01,0.96,-0.67,1.71,0.61
0.01,-0.00,0.97,-0.61,1.71,0.49
0.00,0.00,0.96,-0.67,1.83,0.85
0.02,-0.00,0.97,-0.37,2.08,0.49
0.01,-0.00,0.96,-0.61,1.83,0.73
0.01,-0.00,0.96,-1.10,0.92,0.67
0.01,-0.00,0.97,-1.04,1.10,0.61
0.01,-0.00,0.97,-0.49,1.65,0.37
0.06,0.02,0.95,-0.73,1.59,0.49
-0.01,0.00,0.97,-0.55,1.77,0.55
0.00,-0.00,0.97,-0.55,1.83,0.49
0.00,-0.00,0.97,-0.55,1.83,0.55
0.00,0.00,0.97,-0.61,1.71,0.61
0.00,-0.00,0.97,-0.67,1.89,0.43
0.00,-0.00,0.97,-0.37,2.08,0.67
0.00,0.00,0.97,-0.61,1.89,0.49
-0.00,0.00,0.97,-0.49,2.01,0.67
0.00,0.00,0.97,-0.61,1.83,0.73
-0.01,-0.00,0.97,-0.55,1.71,0.55
0.04,0.01,0.96,-0.61,1.71,1.34
0.00,-0.00,0.97,-0.67,1.95,0.49
0.00,0.00,0.97,-0.49,1.89,0.61
0.00,0.00,0.97,-0.49,1.95,0.55
-0.00,0.00,0.97,-0.43,1.77,0.55
0.00,0.00,0.97,-0.37,1.95,0.49
0.00,0.00,0.97,-0.55,1.77,0.55
0.00,0.00,0.97,-0.55,1.89,0.31
0.01,0.00,0.97,-0.67,1.71,0.43
0.00,-0.00,0.97,-0.67,1.59,0.43
0.05,0.02,0.95,-0.43,1.83,0.55
0.04,0.01,0.97,-0.24,2.20,0.43
0.00,0.00,0.97,-0.73,1.65,0.37
0.00,0.00,0.97,-0.61,1.77,0.31
-0.00,0.00,0.97,-0.49,2.08,0.43
-0.00,0.00,0.97,-0.31,1.95,0.55
0.00,0.00,0.97,-0.67,2.01,0.61
0.01,0.00,0.97,-0.55,2.01,0.49
0.00,0.00,0.97,-0.49,1.83,0.55
0.02,0.00,0.96,-0.43,1.83,0.49
0.01,0.00,0.97,-0.55,1.83,0.49
-0.04,-0.00,0.97,-0.43,1.71,0.43
0.03,0.01,0.97,-0.55,1.71,0.79
-0.00,0.00,0.97,-0.55,1.71,0.61
-0.00,0.00,0.97,-0.49,1.83,0.55
-0.00,0.00,0.97,-0.49,1.77,0.43
0.01,0.00,0.97,-0.37,2.01,0.49
0.00,0.00,0.97,-0.55,1.95,0.55
0.01,0.00,0.96,-0.61,2.01,0.49
0.00,0.00,0.97,-0.61,1.89,0.55
-0.00,0.00,0.97,-0.49,1.89,0.37
-0.01,0.00,0.97,-0.61,1.95,0.55
0.05,0.00,0.96,-0.49,1.95,0.49
-0.01,0.01,0.97,-0.61,1.95,0.55
-0.00,0.00,0.97,-0.55,1.83,0.67
0.00,0.00,0.97,-0.43,1.89,0.55
-0.00,0.00,0.97,-0.43,1.83,0.55
0.00,0.00,0.97,-0.43,1.95,0.43
0.00,0.00,0.97,-0.73,1.77,0.37
0.00,0.00,0.97,-0.49,2.14,0.37
-0.01,-0.00,0.97,-0.55,1.71,0.55
0.00,-0.00,0.97,-0.43,1.83,0.37
-0.03,0.01,0.97,-0.43,1.95,0.43
-0.08,-0.00,0.98,-0.49,1.95,0.55
-0.00,0.00,0.97,-0.49,1.89,0.49
-0.00,0.00,0.97,-0.37,1.83,0.49
-0.00,0.00,0.97,-0.61,2.01,0.49
-0.00,0.00,0.97,-0.73,1.83,0.61
-0.00,0.00,0.96,-0.55,2.01,0.55
0.01,0.01,0.96,-0.49,2.08,0.55
-0.00,0.00,0.97,-0.31,1.89,0.55
0.01,-0.00,0.97,-0.61,1.83,0.37
-0.00,0.00,0.97,-0.55,2.01,0.49
0.01,0.01,0.96,-0.49,1.95,0.55
-0.06,0.01,0.97,-0.55,1.95,0.43
-0.00,0.00,0.97,-0.49,1.83,0.49
0.00,0.00,0.97,-0.49,1.89,0.49
-0.00,0.00,0.97,-0.55,1.65,0.67
0.01,0.00,0.97,-0.49,1.71,0.49
0.00,0.00,0.97,-0.31,1.95,0.37
0.01,-0.00,0.97,-0.55,1.95,0.49
-0.00,0.00,0.97,-0.61,1.89,0.43
-0.00,0.00,0.97,-0.55,1.89,0.24
-0.01,0.01,0.97,-0.43,1.77,0.37
0.00,0.00,0.97,-0.49,2.01,0.37
-0.01,0.00,0.97,-0.49,1.77,0.37
0.02,0.00,0.96,-0.43,2.01,0.49
0.04,-0.01,0.97,-0.55,1.89,0.43
-0.00,0.00,0.97,-0.61,1.89,0.61
0.02,0.00,0.97,-0.73,1.95,0.49
-0.00,0.00,0.97,-0.61,2.01,0.61
-0.01,0.01,0.97,-0.49,1.89,0.55
0.00,0.00,0.97,-0.37,2.01,0.43
-0.01,0.00,0.97,-0.49,2.01,0.55
-0.01,0.01,0.97,-0.61,1.89,0.55
-0.00,0.00,0.97,-0.67,1.89,0.49
-0.01,0.00,0.97,-0.43,1.89,0.61
0.00,0.00,0.97,-0.49,1.89,0.49
-0.01,0.00,0.97,-0.61,1.89,0.61
0.00,0.00,0.97,-0.37,1.89,0.43
-0.00,0.00,0.97,-0.43,1.89,0.55
-0.01,0.01,0.97,-0.49,1.71,0.55
-0.00,0.00,0.97,-0.73,1.77,0.55
-0.01,0.00,0.97,-0.49,1.95,0.49
0.00,0.00,0.97,-0.49,1.95,0.61
0.02,0.00,0.97,-0.43,1.77,0.55
0.00,0.00,0.97,-0.49,1.77,0.43
-0.05,0.01,0.97,-0.31,1.95,0.67
0.00,0.00,0.97,-0.37,1.95,0.61
0.01,0.01,0.96,-0.55,1.89,0.43
-0.00,0.01,0.96,-0.67,1.95,0.43
-0.01,0.00,0.97,-0.43,1.95,0.55
-0.02,0.01,0.97,-0.49,1.71,0.67
-0.01,0.01,0.97,-0.43,1.95,0.43
-0.01,0.01,0.97,-0.49,1.89,0.49
-0.00,0.00,0.97,-0.37,2.01,0.67
0.01,0.00,0.96,-0.37,2.44,0.55
0.04,0.00,0.97,-0.31,2.44,0.55
-0.00,0.00,0.97,-0.24,2.01,0.55
0.00,0.00,0.97,-0.67,2.08,0.55
0.00,-0.00,0.97,-0.43,1.77,0.67
0.00,0.00,0.97,-0.37,1.83,0.85
0.00,-0.00,0.97,-0.85,2.08,0.61
0.01,0.01,0.96,-0.73,1.89,0.37
0.00,0.00,0.97,-0.06,2.81,0.43
0.00,-0.00,0.97,0.37,2.69,0.31
0.00,0.00,0.97,-0.67,1.59,0.67
0.02,0.00,0.97,-0.43,1.89,0.43
0.05,0.02,0.97,-0.49,2.14,0.73
0.00,0.00,0.97,-0.43,2.26,0.55
0.01,-0.00,0.96,-0.73,2.01,0.73
0.00,-0.00,0.97,0.24,2.14,-0.12
